audio|text_scribe
audio_files/Ind033_F_U_C_news_1132.wav|riwud padmadi
audio_files/Ind089_M_U_C_news_3011.wav|sebab mulai awal januari
audio_files/Ind035_M_J_C_news_1209.wav|ikhlas hati
audio_files/Ind083_M_B_C_news_2806.wav|perangai seperti ini
audio_files/Ind094_M_S_C_news_3130.wav|ujar rizalt
audio_files/Ind021_M_J_C_news_0712.wav|meneg lingkungan hidup nabiel makarim
audio_files/Ind063_M_J_C_news_2094.wav|elsa syarif
audio_files/Ind019_F_U_C_news_0700.wav|dalam posisinya yang relatif netral
audio_files/Ind100_M_B_C_news_0110.wav|zat pewarna
audio_files/Ind066_F_J_C_news_2253.wav|namun dia enggan menjelaskan siapa yang membuat konsep fatwa tersebut
audio_files/Ind023_M_J_C_news_0775.wav|pepatah tak pandai berdansa
audio_files/Ind043_F_U_C_news_1413.wav|ofisial lalu memberikan obat
audio_files/Ind077_M_J_C_news_2525.wav|harus dinyatakan sebagai zona netral
audio_files/Ind099_M_J_C_news_0099.wav|pemprov jateng menunda hujan buatan
audio_files/Ind080_M_S_C_news_2641.wav|dan mu
audio_files/Ind029_F_S_C_news_1004.wav|pers bungkam
audio_files/Ind088_M_S_C_news_2929.wav|lalu dibawa ke brimob kelapa dua
audio_files/Ind032_M_S_C_news_1034.wav|setibanya di sungai jordan
audio_files/Ind071_M_J_C_news_2385.wav|aku dulu yang lebih nyinyir mengkritik soeharto dibanding mereka
audio_files/Ind006_M_J_C_news_0263.wav|ikhtiar untuk mematahkan stigma itu tidak bisa hanya wacana
audio_files/Ind063_M_J_C_news_2143.wav|yakni iwan
audio_files/Ind059_M_S_C_news_1990.wav|sistem syariah ini telah terbukti memberikan keuntungan bagi bank
audio_files/Ind049_M_S_C_news_1651.wav|atau atasannya
audio_files/Ind065_M_U_C_news_2115.wav|roy akan merangkul yayasan lembaga konsumen indonesia
audio_files/Ind015_F_S_C_news_0488.wav|jumlah rute
audio_files/Ind059_M_S_C_news_1915.wav|baik secara fisik maupun moral psikisnya
audio_files/Ind091_F_S_C_news_3070.wav|kalau sampai gagal memenuhi target waktu
audio_files/Ind081_M_J_C_news_2697.wav|dan dari sekneg nanti akan diteruskan kepada presiden wahid
audio_files/Ind047_M_J_C_news_1584.wav|dan eksplosif
audio_files/Ind009_F_U_C_news_0368.wav|yaitu khazanah wayang
audio_files/Ind033_F_U_C_news_1085.wav|silakan saja kampanye untuk partainya
audio_files/Ind076_F_B_C_news_2531.wav|karena sesuai mekanisme mpr tiap fraksi boleh mengajukan satu calon
audio_files/Ind045_F_U_C_news_1532.wav|rombongan wapres belum juga mendarat di heliped pt arun
audio_files/Ind030_F_U_C_news_1017.wav|alwi syihab
audio_files/Ind024_F_S_C_news_0766.wav|dan elza
audio_files/Ind072_M_J_C_news_2350.wav|menurut who
audio_files/Ind014_M_U_C_news_0444.wav|dengan sistem proteksi yang sederhana berupa tarif spesifik saja
audio_files/Ind100_M_B_C_news_0104.wav|ubah lagi formatnya
